Window,Spectral Centroid,Centroid Spread,Centroid Skewness,Spectral Entropy,Spectral Flux,Fundamental Tone Difference
1,3621.588794049665,57.6100427428423,-0.49486996639254394,5.879925,479.25433,0.35936133685065397
2,3519.9072198548893,227.20246832801973,0.379333875313474,5.736856,457.5487,0.5092126501479391
3,3454.981310320832,114.96759533623687,-0.6455787864696385,5.5787888,442.5896,0.17354035835569742
4,3317.664929125391,260.3128445325914,-0.2691505321837422,5.886889,459.8255,0.13559039554270247
5,3259.047072531024,39.303530323628785,-0.40583822640557005,6.0316243,594.93146,0.5327229348602642
6,3087.2628136164603,246.22825723231992,0.48073892017789843,6.0086894,661.2799,0.3887618848888188
7,3187.3029916684923,266.984369472883,0.26440644260917107,5.719618,626.43994,1.4214074040025317
8,3374.038879377415,143.36485865126613,0.6852690094264624,6.037475,460.80017,2.464219722019492
9,3615.2200795932986,161.98026710190524,0.07105704006282634,6.080027,439.68427,1.1616146023915932
10,3461.004276348718,26.816372712221245,0.039080773143249564,5.88296,405.73444,1.606259403383605
11,3432.866113729919,193.89024028446497,-0.46568591850461377,5.9350243,441.11353,0.05962501296867373
12,3391.200135175038,80.49080974178712,-0.3283705886179062,6.05697,417.0562,0.0
13,3358.6108170353987,216.70199577491016,-0.6544060442963545,5.948545,430.31097,0.9854682418493752
14,3467.8159976938186,115.82036900644415,-0.6647906201349136,6.0546227,465.62994,0.32056828442180857
15,3401.550119029678,170.43097051431212,-0.4161777407746822,6.021341,415.97656,0.20845696593926036
16,3400.9562563079066,26.966683090597705,0.2903149882559075,5.9836593,408.82294,0.17038376725608678
17,3386.6777573817585,191.38838724033263,0.0570966559982151,5.7351556,435.6214,0.03777692314036107
18,3353.4718607343534,145.6576616743591,0.3394238743478721,5.7693214,421.05078,0.08119195528149192
19,3299.246120378859,321.42742869094883,0.3208014895253682,5.934574,421.8157,0.1662193447752411
20,3312.735733723564,45.9050933039009,-0.6244988817608038,5.935757,450.60504,0.3038961601466389
21,3366.8640135618057,173.66735321647354,0.33295987532873944,5.8553233,450.81555,0.5033895091218372
22,3185.6708109843275,211.54107133556164,-0.48804947528873055,5.8734665,432.8139,0.734444929162229
23,3153.795325491699,216.09888618509925,0.6919036011905304,5.899813,512.88306,1.1717060664228423
24,3125.098713087375,104.63334832328147,-0.0489453984047637,5.8122506,394.6159,1.1438931212195171
25,3309.9573487008715,299.23889993847524,0.5693263488734495,5.834053,460.138,1.6885891779702489
26,3429.752455363357,136.45031569044295,0.6931082575136376,6.041862,459.67108,2.3139077583128054
27,3396.6228332703854,290.55255524174555,-0.3515341677114122,6.0691314,464.3162,1.5305125080272939
28,3267.3096560461386,431.02605037669684,0.4690703617423107,6.200634,471.0675,1.7404083238261026
29,3071.985463086536,532.6499762302082,0.7043436816673114,6.101895,554.0443,1.524795238470835
30,3796.320297720437,715.3514305621231,-0.5486558501921597,5.669316,637.2382,1.1106976302917124
31,3651.058519598801,424.1632785305233,0.02449126212955446,4.7951107,560.3579,0.4536772301960668
32,3854.781830170295,136.44097290020272,-0.26715377359649994,4.323569,426.55087,0.33913876167608437
