Window,Spectral Centroid,Centroid Spread,Centroid Skewness,Spectral Entropy,Spectral Flux,Fundamental Tone Difference
85,3244.4058444866755,36.74189953234703,-0.3525733937912211,5.6160817,454.7978,0.20334865516326467
86,3432.805305124351,64.7970854389108,0.5268768694670207,6.143059,465.92398,0.2892590342688812
87,3761.1012487585067,448.1652171719467,0.7045733736256737,6.243242,541.06946,0.3831025583166352
88,3568.512554493998,512.9581487604746,-0.5289030782225232,5.940929,474.48474,0.7152728483921721
89,3215.349465959843,356.09257041490395,0.24474498490505314,6.1997085,522.0834,2.4122646711576547
90,3088.7854130339315,208.73193754638362,-0.7020797931397905,6.3920016,542.00757,1.6019601308404474
91,3152.0881182882076,103.02356906445357,0.4923980532913969,6.1835423,477.33105,1.0313369883872552
92,3001.358682946852,145.4994694530305,0.7000375032036009,6.0410075,507.42426,0.6032084345238831
93,3738.041310617509,1054.7060387306733,0.561622726683215,6.608603,531.75726,0.3051296362646333
94,3823.248740255918,217.81078410981962,0.5532719532859071,6.7895637,423.20447,1.0377993048538103
95,3671.8683352526764,269.6945308116729,-0.5244715734097296,6.8319206,573.4057,0.918307975561482
96,4172.900228926013,69.40599113728511,-0.5738540640788415,6.804022,553.3966,0.46249660318088764
97,4187.292834636411,128.70903948740286,-0.2632147942963916,6.900543,539.6852,0.4449399469652964
98,4005.7068636623003,336.2319512040139,-0.06957487398521435,6.429589,518.4409,1.0098867185297264
99,4010.5765126048204,456.94027466731114,0.6726306263555398,6.6992335,508.60016,2.045320548051084
100,3810.8845190734974,145.02376182315226,0.6376335122619415,6.4258766,520.3681,0.41819260437609806
101,3781.8590973901796,72.10313255589065,-0.6696902712559635,6.6451135,576.1659,0.5939585599646975
102,3657.5901628932484,412.55357226461564,-0.15949001613965533,6.861866,552.5472,0.6853067610443944
103,3445.6030656622283,277.5957301470037,0.31726200298377494,6.554207,596.7645,0.5849227647502742
104,3567.902364228777,178.88931820904776,0.5031026983197574,6.0971045,584.2969,0.4978016736573215
105,3739.6463975264564,90.74953264226546,-0.6421808233031705,6.3515,587.8862,0.17004442700316247
106,3718.7271590433447,363.44838052075517,-0.3052850535817134,6.372307,559.50085,0.33930531677225595
107,4092.8137455390242,539.3226689304578,0.16649261689205622,6.411574,523.993,0.5345445933823705
108,3667.962231770276,372.2144621661421,0.4886070339730901,6.7107377,482.08902,0.6282360922165434
109,3576.9398824845393,153.2913528635942,0.31921252147450907,6.549478,545.0869,1.072674820620244
110,3795.2854806202026,184.7944921956244,-0.11247949766626786,6.499289,545.1504,0.5911230841554991
111,3756.074397911372,86.32126367979615,0.6154147119395136,5.974198,604.0243,0.7076357511559634
112,3884.1894237035835,408.5393624106677,0.4970720479217687,6.1975846,513.74615,0.29584850593173373
113,3829.9813323494022,563.654451549886,0.6510092152839554,6.7905593,547.4522,0.6486294847891876
114,3571.7227006852895,110.1700110804153,0.477355575378431,6.4207425,494.92737,0.6074994392706965
115,3905.887499517534,285.1547942191206,0.14045481004823812,6.0127816,484.19476,0.5054823993751109
116,3602.1105943528637,197.0800761144124,-0.5671542077899047,6.1767964,516.75165,0.7127607949658914
117,3305.398930044377,284.84781668685076,0.4208491728553826,6.6804376,520.69946,1.0655658328915534
118,3380.9579655661114,342.2891470476882,-0.7033961972474552,6.6852355,559.9083,0.9703634926662028
